date,spot,total_gex,total_dex,net_gex,gamma_flip,regime,hhi,pc_ratio
2026-06-29,7440.43,141815191.0,140739873.0,141815191.0,7442.0,SHORT γ,0.0017,1.881
2026-06-30,7499.36,-2493190607.0,165034661.0,-2493190607.0,7495.0,LONG γ,0.2328,1.934
2026-07-01,7483.23,264624874.0,156015419.0,264624874.0,7477.0,LONG γ,0.0018,1.796
2026-07-02,7483.24,39440804.0,113954702.0,39440804.0,7476.0,LONG γ,0.0027,1.978
2026-07-03,7483.24,185173177.0,116999625.0,185173177.0,7456.0,LONG γ,0.0019,1.974
2026-07-06,7537.43,472174791.0,193888307.0,472174791.0,7485.0,LONG γ,0.0023,1.796
2026-07-07,7503.85,203110083.0,164459660.0,203110083.0,7505.0,SHORT γ,0.0018,1.764
2026-07-08,7482.71,83381684.0,143869129.0,83381684.0,7479.0,LONG γ,0.0018,1.88
2026-07-09,7543.64,506395154.0,165104393.0,506395154.0,7487.0,LONG γ,0.0029,1.908
2026-07-10,7575.39,643333251.0,204148265.0,643333251.0,7505.0,LONG γ,0.0029,1.802
2026-07-13,7515.34,181043017.0,170592107.0,181043017.0,7516.0,SHORT γ,0.002,1.75
2026-07-14,7543.59,285355691.0,201067106.0,285355691.0,7539.0,LONG γ,0.002,1.732
2026-07-15,7572.4,428622990.0,199911750.0,428622990.0,7558.0,LONG γ,0.0024,1.767
2026-07-16,7533.77,210104985.0,154948655.0,210104985.0,7532.0,LONG γ,0.0021,1.862
2026-07-17,7457.69,-227402973.0,149074224.0,-227402973.0,7526.0,SHORT γ,0.002,1.624
2026-07-20,7443.28,-305772872.0,148756784.0,-305772872.0,7529.0,SHORT γ,0.0021,1.612
2026-07-21,7509.2,71210168.0,145068011.0,71210168.0,7514.0,SHORT γ,0.0019,1.707
2026-07-22,7498.96,-19405475.0,173168951.0,-19405475.0,7528.0,SHORT γ,0.002,1.678
2026-07-23,7408.3,-578536762.0,139126817.0,-578536762.0,7455.0,SHORT γ,0.0029,1.678
2026-07-24,7401.97,-625714944.0,125991122.0,-625714944.0,7511.0,SHORT γ,0.003,1.691
