date,maturity,rate
2019-12-31,month_1,0.0148
2019-12-31,month_3,0.0155
2019-12-31,month_6,0.016
2019-12-31,year_1,0.0159
2019-12-31,year_2,0.0158
2019-12-31,year_3,0.016200000000000003
2019-12-31,year_5,0.0169
2019-12-31,year_7,0.0183
2019-12-31,year_10,0.0192
2019-12-31,year_20,0.0225
2019-12-31,year_30,0.0239
2020-01-02,month_1,0.015300000000000001
2020-01-02,month_3,0.0154
2020-01-02,month_6,0.015700000000000002
2020-01-02,year_1,0.015600000000000001
2020-01-02,year_2,0.0158
2020-01-02,year_3,0.0159
2020-01-02,year_5,0.0167
2020-01-02,year_7,0.0179
2020-01-02,year_10,0.018799999999999997
2020-01-02,year_20,0.0219
2020-01-02,year_30,0.0233
2020-01-03,month_1,0.0152
2020-01-03,month_3,0.0152
2020-01-03,month_6,0.0155
2020-01-03,year_1,0.0155
2020-01-03,year_2,0.015300000000000001
2020-01-03,year_3,0.0154
2020-01-03,year_5,0.0159
2020-01-03,year_7,0.0171
2020-01-03,year_10,0.018000000000000002
2020-01-03,year_20,0.021099999999999997
2020-01-03,year_30,0.0226
2020-01-06,month_1,0.0154
2020-01-06,month_3,0.015600000000000001
2020-01-06,month_6,0.015600000000000001
2020-01-06,year_1,0.0154
2020-01-06,year_2,0.0154
2020-01-06,year_3,0.015600000000000001
2020-01-06,year_5,0.0161
2020-01-06,year_7,0.0172
2020-01-06,year_10,0.0181
2020-01-06,year_20,0.0213
2020-01-06,year_30,0.022799999999999997
2020-01-07,month_1,0.0152
2020-01-07,month_3,0.0154
2020-01-07,month_6,0.015600000000000001
2020-01-07,year_1,0.015300000000000001
2020-01-07,year_2,0.0154
2020-01-07,year_3,0.0155
2020-01-07,year_5,0.016200000000000003
2020-01-07,year_7,0.0174
2020-01-07,year_10,0.0183
2020-01-07,year_20,0.0216
2020-01-07,year_30,0.0231
2020-01-08,month_1,0.015
2020-01-08,month_3,0.0154
2020-01-08,month_6,0.015600000000000001
2020-01-08,year_1,0.0155
2020-01-08,year_2,0.0158
2020-01-08,year_3,0.0161
2020-01-08,year_5,0.0167
2020-01-08,year_7,0.0178
2020-01-08,year_10,0.0187
2020-01-08,year_20,0.022099999999999998
2020-01-08,year_30,0.0235
2020-01-09,month_1,0.015300000000000001
2020-01-09,month_3,0.0154
2020-01-09,month_6,0.015600000000000001
2020-01-09,year_1,0.0154
2020-01-09,year_2,0.0158
2020-01-09,year_3,0.0159
2020-01-09,year_5,0.0165
2020-01-09,year_7,0.0177
2020-01-09,year_10,0.018500000000000003
2020-01-09,year_20,0.0217
2020-01-09,year_30,0.023799999999999998
2020-01-10,month_1,0.0152
2020-01-10,month_3,0.0154
2020-01-10,month_6,0.0155
2020-01-10,year_1,0.015300000000000001
2020-01-10,year_2,0.015600000000000001
2020-01-10,year_3,0.0159
2020-01-10,year_5,0.0163
2020-01-10,year_7,0.0174
2020-01-10,year_10,0.0183
2020-01-10,year_20,0.021400000000000002
2020-01-10,year_30,0.022799999999999997
2020-01-13,month_1,0.0154
2020-01-13,month_3,0.015700000000000002
2020-01-13,month_6,0.015700000000000002
2020-01-13,year_1,0.015300000000000001
2020-01-13,year_2,0.0158
2020-01-13,year_3,0.016
2020-01-13,year_5,0.0165
2020-01-13,year_7,0.0176
2020-01-13,year_10,0.018500000000000003
2020-01-13,year_20,0.0216
2020-01-13,year_30,0.023
2020-01-14,month_1,0.015300000000000001
2020-01-14,month_3,0.015700000000000002
2020-01-14,month_6,0.015700000000000002
2020-01-14,year_1,0.015300000000000001
2020-01-14,year_2,0.0158
2020-01-14,year_3,0.0159
2020-01-14,year_5,0.0163
2020-01-14,year_7,0.0174
2020-01-14,year_10,0.0182
2020-01-14,year_20,0.0212
2020-01-14,year_30,0.0227
2020-01-15,month_1,0.015300000000000001
2020-01-15,month_3,0.015700000000000002
2020-01-15,month_6,0.0158
2020-01-15,year_1,0.0154
2020-01-15,year_2,0.015600000000000001
2020-01-15,year_3,0.015600000000000001
2020-01-15,year_5,0.016
2020-01-15,year_7,0.0171
2020-01-15,year_10,0.0179
2020-01-15,year_20,0.0209
2020-01-15,year_30,0.0223
2020-01-16,month_1,0.0154
2020-01-16,month_3,0.0155
2020-01-16,month_6,0.015600000000000001
2020-01-16,year_1,0.0154
2020-01-16,year_2,0.0158
2020-01-16,year_3,0.0158
2020-01-16,year_5,0.0163
2020-01-16,year_7,0.0173
2020-01-16,year_10,0.0181
2020-01-16,year_20,0.021099999999999997
2020-01-16,year_30,0.0226
2020-01-17,month_1,0.0154
2020-01-17,month_3,0.015600000000000001
2020-01-17,month_6,0.015700000000000002
2020-01-17,year_1,0.015600000000000001
