date,action,strategy,confidence,skip_category,skip_reason,spot,voldex,expected_move_pts,spot_at_eval
2026-06-29,TRADE,long_put,0.463,,,7440.43,14.24,158.74971761083492,7440.43
2026-06-30,SKIP,,0.028,Conviction bassa,Conviction 0.03 < 0.4 — condizioni non abbastanza favorevoli per comprare vol,7499.36,13.43,52.62706164069028,7499.36
2026-07-01,SKIP,,0.382,Conviction bassa,Conviction 0.38 < 0.4 — condizioni non abbastanza favorevoli per comprare vol,7483.23,13.21,109.74172923424535,7483.23
2026-07-02,SKIP,,0.386,Conviction bassa,Conviction 0.39 < 0.4 — condizioni non abbastanza favorevoli per comprare vol,7483.24,13.03,173.23943035884616,7483.24
2026-07-03,SKIP,,0.379,Conviction bassa,Conviction 0.38 < 0.4 — condizioni non abbastanza favorevoli per comprare vol,7483.24,13.39,,7483.24
2026-07-06,SKIP,,0.396,Conviction bassa,Conviction 0.40 < 0.4 — condizioni non abbastanza favorevoli per comprare vol,7537.43,12.48,334.6247856758798,7537.43
2026-07-07,TRADE,long_put,0.638,,,7503.85,12.9,230.81849124648312,7503.85
2026-07-08,SKIP,,0.324,Conviction bassa,Conviction 0.32 < 0.4 — condizioni non abbastanza favorevoli per comprare vol,7482.71,13.68,43.29500601119431,7482.71
2026-07-09,SKIP,,0.245,Conviction bassa,Conviction 0.24 < 0.4 — condizioni non abbastanza favorevoli per comprare vol,7543.64,12.54,5.940058160773599,7543.64
2026-07-10,SKIP,,0.254,Conviction bassa,Conviction 0.25 < 0.4 — condizioni non abbastanza favorevoli per comprare vol,7575.39,12.08,141.10943418554947,7575.39
2026-07-13,TRADE,long_put,0.57,,,7515.34,13.89,146.1926890290499,7515.34
