date,action,strategy,confidence,skip_category,skip_reason,spot,voldex,credit,max_loss
2026-07-06,SKIP,,0.27,Conviction bassa,Conviction 0.27 < 0.4 — condizioni non abbastanza favorevoli per vendere vol,7537.43,12.48,,
2026-07-07,SKIP,,0.0,Conviction bassa,Conviction 0.00 < 0.4 — condizioni non abbastanza favorevoli per vendere vol,7503.85,12.9,,
2026-07-08,SKIP,,0.0,Stress in arrivo (skew),"Skew in forte espansione (+1.67pt) — stress in arrivo, vendere vol ora è pericoloso",7482.71,13.68,,
2026-07-09,SKIP,,0.37,Conviction bassa,Conviction 0.37 < 0.4 — condizioni non abbastanza favorevoli per vendere vol,7543.64,12.54,,
2026-07-10,SKIP,,0.37,Conviction bassa,Conviction 0.37 < 0.4 — condizioni non abbastanza favorevoli per vendere vol,7575.39,12.08,,
2026-07-13,SKIP,,0.0,Evento macro imminente,CPI tra 1g (2026-07-14) — niente vendite vol a ridosso di eventi ad alto impatto,7515.34,13.89,,
2026-07-14,SKIP,,0.0,Evento macro imminente,CPI oggi (2026-07-14) — niente vendite vol a ridosso di eventi ad alto impatto,7543.59,13.15,,
2026-07-15,SKIP,,0.32,Conviction bassa,Conviction 0.32 < 0.4 — condizioni non abbastanza favorevoli per vendere vol,7572.4,12.35,,
2026-07-16,SKIP,,0.0,Stress in arrivo (skew),"Skew in forte espansione (+1.65pt) — stress in arrivo, vendere vol ora è pericoloso",7533.77,13.12,,
2026-07-17,SKIP,,0.0,Stress in arrivo (skew),"Skew in forte espansione (+2.59pt) — stress in arrivo, vendere vol ora è pericoloso",7457.69,14.66,,
2026-07-20,SKIP,,0.0,Stress in arrivo (skew),"Skew in forte espansione (+2.42pt) — stress in arrivo, vendere vol ora è pericoloso",7443.28,14.75,,
2026-07-21,SKIP,,0.22,Conviction bassa,Conviction 0.22 < 0.4 — condizioni non abbastanza favorevoli per vendere vol,7509.2,13.28,,
