strike,net_gex,net_dex,total_oi,call_gex,put_gex,charm_exp,vanna_exp,gross_gex,call_dex,put_dex
-1.0,355431540.0836888,196811918.83999997,13770145.0,7544.48,20162.0,,,,,
1000.0,-2668.937670920067,-571.92,28596.0,0.0,-2668.937670920067,42134710.80994756,-39735155.6618965,2668.937670920067,0.0,-571.92
1200.0,-2790.327344424163,-495.56999999999994,16519.0,0.0,-2790.327344424163,40067297.71850863,-39846411.30555782,2790.327344424163,0.0,-495.56999999999994
1400.0,-4610.102410348431,-742.92,15115.0,0.0,-4610.102410348431,52717404.33105861,-67261295.55012578,4610.102410348431,0.0,-742.92
1600.0,-8313.872937506545,-1332.11,18483.0,0.0,-8313.872937506545,87987735.93412386,-117467095.657365,8313.872937506545,0.0,-1332.11
1800.0,-10309.546562014884,-1572.16,16097.0,0.0,-10309.546562014884,100416722.32599269,-141876332.4965225,10309.546562014884,0.0,-1572.16
2000.0,-40231.39131291637,2546.8999999999996,48045.0,1.0142910331744956,-40232.40560394954,380499154.5324204,-532530264.1691776,40233.41989498272,8600.0,-6053.1
2200.0,-56551.153052858,372787.5,58515.0,62.698854218626906,-56613.85190707663,620243400.9839022,-726344670.8417559,56676.55076129525,380800.0,-8012.499999999999
2400.0,-47855.867585233485,-6863.47,31269.0,0.01825438340012032,-47855.88583961689,409115502.6396568,-612025181.6371137,47855.90409400028,100.0,-6963.47
2500.0,-62895.35406223527,-8169.989999999999,65985.0,0.020252175687356485,-62895.374314410954,977570866.5372448,-746192943.7321309,62895.39456658664,100.0,-8269.99
2600.0,-25678.44888632521,4517.790000000001,16800.0,1.2312744510548796,-25679.680160776265,251939641.61692217,-312616322.40498555,25680.91143522732,8000.0,-3482.21
2700.0,-113234.33798631292,-15099.140000000001,59127.0,0.0,-113234.33798631292,942179557.4942756,-1342872856.7180815,113234.33798631292,0.0,-15099.140000000001
2800.0,-147716.92292956306,-18839.920000000002,71908.0,0.1951958499055903,-147717.118125413,1211600225.2688708,-1739963962.5470948,147717.3133212629,900.0,-19739.920000000002
2900.0,-14598.016760720011,1170.2900000000002,10133.0,0.9262728343906603,-14598.943033554402,189003586.42224723,-164703510.61973727,14599.869306388793,3000.0,-1829.71
3000.0,-120121.96731675751,12369.530000000002,65578.0,120.50147129303527,-120242.46878805055,1266761990.8093956,-1356144859.367571,120362.97025934358,27590.960000000003,-15221.429999999998
3100.0,-18193.576274165403,-2223.7000000000003,9988.0,0.0,-18193.576274165403,215456132.47137797,-198604742.0752178,18193.576274165403,0.0,-2223.7000000000003
3200.0,-81258.10562576161,-4026.980000000001,32849.0,23.858024642321322,-81281.96365040394,729469486.385205,-900055722.5929289,81305.82167504626,6198.25,-10225.230000000001
3300.0,-138468.0715276712,-17583.03,43233.0,0.0,-138468.0715276712,1161333003.0683186,-1532038011.7751925,138468.0715276712,0.0,-17583.03
3400.0,-106102.23003064115,-11737.89,32507.0,0.7938627040989138,-106103.02389334525,879084665.685455,-1156138616.3737464,106103.81775604935,1600.0,-13337.890000000001
3450.0,-2571.1194283835493,-219.44,1688.0,0.0,-2571.1194283835493,38881356.593690954,-22808137.590047546,2571.1194283835493,0.0,-219.44
3500.0,-357202.673851897,-43603.8,81611.0,0.0,-357202.673851897,2488214972.9036674,-3819676426.3422246,357202.673851897,0.0,-43603.8
3550.0,-1151.1938626197127,-93.24,666.0,0.0,-1151.1938626197127,16778717.937884085,-10114729.425046831,1151.1938626197127,0.0,-93.24
3600.0,-87791.46603169403,-9713.67,26515.0,0.06668186228696309,-87791.53271355631,847752524.4897797,-890320638.8638027,87791.5993954186,200.0,-9913.67
3650.0,-1690.5693218307053,-130.71,2751.0,0.0,-1690.5693218307053,92941154.17607225,-12885829.938865563,1690.5693218307053,0.0,-130.71
3700.0,-93266.76338504153,-10603.73,20624.0,0.12401903295839582,-93266.88740407448,703187619.3131622,-955102683.1890211,93267.01142310744,200.0,-10803.73
3750.0,-3806.029864026279,-290.23,3736.0,0.0,-3806.029864026279,124668738.35312074,-29545343.68341911,3806.029864026279,0.0,-290.23
3800.0,-272000.13178808644,-33437.5,50352.0,0.1258230314818541,-272000.2576111179,1720883039.4596267,-2848125505.137529,272000.3834341494,200.0,-33637.5
3850.0,-32213.147040680873,-3820.65,6661.0,0.0,-32213.147040680873,250719368.06591508,-327510295.72968876,32213.147040680873,0.0,-3820.65
3900.0,-96503.56594488588,-9779.85,28687.0,0.0,-96503.56594488588,1035279930.2289668,-897911606.881441,96503.56594488588,0.0,-9779.85
3950.0,-26730.729910123824,-3161.0899999999997,5575.0,0.0,-26730.729910123824,222639969.94407773,-268820706.75142336,26730.729910123824,0.0,-3161.0899999999997
3975.0,-866.3624504781649,-68.5,274.0,0.0,-866.3624504781649,10732557.009958534,-7201323.76833213,866.3624504781649,0.0,-68.5
4000.0,-918585.502297108,243566.57000000004,128362.0,461.97118512560303,-919047.4734822336,5465543460.833158,-9063446839.515154,919509.4446673592,346784.72,-103218.14999999998
4025.0,-1831.5020121252273,-139.35999999999999,536.0,0.0,-1831.5020121252273,22242304.735954095,-15098843.596349332,1831.5020121252273,0.0,-139.35999999999999
4050.0,-52070.7245161304,-5565.15,7498.0,0.1848616882682351,-52070.909377818665,333107807.712901,-513620246.3619839,52071.094239506936,400.0,-5965.15
4075.0,-1505.7155355580728,-114.52,409.0,0.0,-1505.7155355580728,17923993.579651907,-12316042.78955974,1505.7155355580728,0.0,-114.52
4100.0,-138785.20344513608,-15213.849999999999,20499.0,0.10374645813067494,-138785.3071915942,916969579.4917313,-1343611411.4260528,138785.41093805234,300.0,-15513.849999999999
4125.0,-16439.574282435595,-1804.2,1790.0,0.0,-16439.574282435595,87237758.84513518,-158348508.45265093,16439.574282435595,0.0,-1804.2
4150.0,-60380.90775592742,-6849.85,10042.0,0.09243290268822446,-60381.000188830105,451636714.82154447,-591233065.054626,60381.092621732794,200.0,-7049.85
4175.0,-6880.833384941597,-695.3400000000001,916.0,0.0,-6880.833384941597,45526889.30289069,-63441212.46144397,6880.833384941597,0.0,-695.3400000000001
4200.0,-210786.07302481687,-19349.72,34535.0,6.164357050334847,-210792.23738186722,1644494972.8869145,-1955535587.0410833,210798.40173891754,2699.74,-22049.46
4225.0,-4744.900964844601,-481.57000000000005,1468.0,0.0,-4744.900964844601,68279059.54846679,-42806106.720445395,4744.900964844601,0.0,-481.57000000000005
4250.0,-64414.66106892507,-5861.08,9904.0,0.950346882801485,-64415.61141580787,483224863.8292102,-604337840.7024335,64416.561762690675,1200.0,-7061.08
4275.0,-11775.887664226837,-940.0,1868.0,0.20122905779571337,-11776.088893284632,93848201.65312606,-108869742.66444138,11776.290122342429,300.0,-1240.0
