date,voldex,calldex,putdex,taildex
2026-06-25,15.67,12.99,20.61,22.97
2026-06-26,15.95,12.99,20.8,23.07
2026-06-29,15.54,12.89,20.24,22.44
2026-06-30,14.04,11.89,18.49,20.62
2026-07-01,13.22,11.49,17.56,19.55
2026-07-02,12.65,10.81,17.06,19.02
2026-07-03,13.39,10.56,17.83,19.62
2026-07-06,12.96,10.95,17.39,19.38
2026-07-07,13.01,11.11,17.3,19.3
2026-07-08,13.73,11.39,18.84,21.1
2026-07-09,12.99,11.01,17.97,20.1
2026-07-10,12.41,10.55,16.51,18.32
2026-07-13,12.89,10.99,17.33,19.3
2026-07-14,13.31,11.06,17.92,20.05
2026-07-15,12.94,10.95,17.64,19.77
2026-07-16,13.02,10.82,17.98,20.08
2026-07-17,15.3,12.03,21.13,23.77
2026-07-20,14.26,11.66,19.69,22.28
2026-07-21,13.98,13.5,20.02,22.29
2026-07-22,13.27,15.12,19.9,21.48
2026-07-23,15.16,16.18,21.57,24.33
2026-07-24,15.04,13.54,20.9,23.41
2026-07-27,14.59,11.5,20.81,23.45
2026-07-28,15.49,12.15,21.6,24.25
2026-07-29,15.21,12.15,21.65,24.26
2026-07-30,14.82,11.61,20.92,23.17
2026-07-31,14.18,11.45,19.94,22.26
2026-08-03,12.62,10.42,17.81,20.13
2026-08-04,13.13,12.17,17.12,19.11
2026-08-05,14.2,13.51,17.84,19.66
2026-08-06,12.79,11.76,16.95,18.85
2026-08-07,12.44,11.02,16.4,18.28
2026-08-10,12.38,11.1,16.14,18.01
2026-08-11,12.61,11.2,16.64,18.71
2026-08-12,12.01,10.86,15.84,17.87
2026-08-13,11.57,10.51,15.21,17.17
2026-08-14,11.75,10.37,15.22,17.26
2026-08-17,12.22,10.3,15.91,17.72
2026-08-18,12.1,12.19,17.39,19.25
2026-08-19,12.44,14.37,17.96,19.56
2026-08-20,40.71,18.03,17.09,18.15
2026-08-21,86.19,18.4,17.44,19.32
